abyss	ABySS
amber	Amber
blast	BLAST
boost	Boost
cmake	CMake
cuda	CUDA
ffmpeg	FFmpeg
fftw	FFTW
freesurfer	FreeSurfer
fsl	FSL
gcc	GCC
geos	GEOS
gerris	Gerris
gromacs	GROMACS
gsl	GSL
HDF5	hdf5
hmmer	HMMER
hypre	Hypre
java	Java
lis	Lis
llvm	LLVM
metis	METIS
mpich2	MPICH2
mpich	MPICH
mrbayes	MrBayes
namd	NAMD
nco	NCO
netcdf	netCDF
nwchem	NWChem
openfoam	OpenFOAM
openmpi	OpenMPI
papi	PAPI
paraview	Paraview
phyml	PhyML
python	Python
python27	Python
python34	Python
root	ROOT
scalapack	ScaLAPACK
suitesparse	SuiteSparse
vtk	VTK
